Time Step,Robot ID,X,Y,Degree,SD Est,,
18,2,-47.15526,-5.3920975,1,1,,
18,3,-101.639496,357.32233,0,0,,
18,4,-361.87158,-190.7376,0,0,,
18,5,133.77649,-219.49063,0,0,,
18,6,-342.34106,-57.597157,0,0,,
18,7,-30.66005,228.91826,1,1,,
18,8,-51.297222,-19.569633,1,1,,
18,9,287.40497,-189.75029,0,0,,
18,10,95.93632,-379.5914,0,0,,
18,11,18.241755,-327.22754,0,0,,
19,0,-70.05239,177.60004,1,1,,
19,1,-202.78835,-33.110786,0,0,,
19,2,-43.074284,1.0992492,1,1,,
19,3,-104.198494,358.88806,0,0,,
19,4,-359.061,-189.68846,0,0,,
19,5,130.83614,-218.89534,0,0,,
19,6,-341.27917,-54.791374,0,0,,
19,7,-33.051987,230.72896,1,1,,
19,8,-48.5158,-18.445496,1,1,,
19,9,284.6915,-188.47078,0,0,,
19,10,98.221794,-377.64804,0,0,,
19,11,15.340016,-327.98907,0,0,,
20,0,-67.05397,177.50275,1,1,,
20,1,-205.24811,-34.828224,0,0,,
20,2,-40.82943,3.0893836,1,1,,
20,3,-106.66569,360.59482,0,0,,
20,4,-356.07465,-189.40283,0,0,,
20,5,127.83719,-218.97484,0,0,,
20,6,-340.15958,-52.008125,0,0,,
20,7,-35.465515,232.51077,1,1,,
20,8,-45.85339,-17.0629,1,1,,
20,9,281.8308,-187.56718,0,0,,
20,10,100.57274,-375.78442,0,0,,
20,11,12.362997,-328.35968,0,0,,
21,0,-64.15273,178.26617,1,1,,
21,1,-207.06633,-37.214443,0,0,,
21,2,-38.92611,5.408299,1,1,,
21,3,-109.2054,362.19165,0,0,,
21,4,-353.08813,-189.1186,0,0,,
21,5,124.87873,-219.47235,0,0,,
21,6,-339.9687,-49.014206,0,0,,
21,7,-37.64474,234.57257,1,1,,
21,8,-43.739155,-14.93452,1,1,,
21,9,279.14127,-186.23813,0,0,,
21,10,103.27321,-374.47772,0,0,,
21,11,9.368899,-328.1716,0,0,,
22,0,-61.26459,179.07773,1,1,,
22,1,-209.20859,-39.314617,0,0,,
22,2,-37.20663,7.866629,1,1,,
22,3,-111.10601,364.5128,0,0,,
22,4,-350.24292,-188.16743,0,0,,
22,5,121.99202,-220.28899,0,0,,
22,6,-339.87897,-46.01555,0,0,,
22,7,-39.433273,236.98112,1,1,,
22,8,-41.2974,-13.19158,1,1,,
22,9,276.79288,-184.37128,0,0,,
22,10,105.54905,-372.5231,0,0,,
22,11,6.527674,-329.13464,0,0,,
23,0,-58.275448,179.33272,1,1,,
23,1,-211.16208,-41.591427,0,0,,
23,2,-36.117836,10.662077,1,1,,
23,3,-113.00487,366.83536,0,0,,
23,4,-347.25137,-187.94228,0,0,,
23,5,119.21037,-221.41257,0,0,,
23,6,-339.53378,-43.035473,0,0,,
23,7,-40.709835,239.69597,1,1,,
